action 1: (3, 4) build type 1
actionProfitValue = 0.071083, totalProfit = 345.969722 => action 1323: (5, 4) upgrade
actionProfitValue = 0.070786, totalProfit = 346.040805 => action 1324: (7, 2) upgrade
actionProfitValue = 0.070779, totalProfit = 346.111591 => action 1325: (3, 3) upgrade
actionProfitValue = 0.070739, totalProfit = 346.182369 => action 1326: (1, 3) upgrade
actionProfitValue = 0.070727, totalProfit = 346.253108 => action 1327: (1, 4) upgrade
actionProfitValue = 0.070605, totalProfit = 346.323835 => action 1328: (7, 0) upgrade
actionProfitValue = 0.070595, totalProfit = 346.394441 => action 1329: (5, 2) upgrade
actionProfitValue = 0.070594, totalProfit = 346.465036 => action 1330: (3, 2) upgrade
actionProfitValue = 0.070583, totalProfit = 346.535630 => action 1331: (1, 5) upgrade
actionProfitValue = 0.070579, totalProfit = 346.606212 => action 1332: (3, 4) upgrade
actionProfitValue = 0.070291, totalProfit = 346.676792 => action 1333: (1, 1) upgrade
actionProfitValue = 0.070231, totalProfit = 346.747082 => action 1334: (3, 1) upgrade
actionProfitValue = 0.070224, totalProfit = 346.817314 => action 1335: (6, 0) upgrade
actionProfitValue = 0.070053, totalProfit = 346.887538 => action 1336: (7, 6) upgrade
actionProfitValue = 0.070004, totalProfit = 346.957591 => action 1337: (5, 0) upgrade
actionProfitValue = 0.069997, totalProfit = 347.027596 => action 1338: (7, 5) upgrade
actionProfitValue = 0.069874, totalProfit = 347.097592 => action 1339: (5, 3) upgrade
actionProfitValue = 0.069688, totalProfit = 347.167466 => action 1340: (1, 0) upgrade
actionProfitValue = 0.069626, totalProfit = 347.237154 => action 1341: (3, 6) upgrade
actionProfitValue = 0.069575, totalProfit = 347.306780 => action 1342: (6, 6) upgrade
actionProfitValue = 0.069320, totalProfit = 347.376355 => action 1343: (6, 4) upgrade
actionProfitValue = 0.069248, totalProfit = 347.445675 => action 1344: (3, 5) upgrade
actionProfitValue = 0.069192, totalProfit = 347.514923 => action 1345: (6, 5) upgrade
actionProfitValue = 0.069169, totalProfit = 347.584115 => action 1346: (5, 5) upgrade
actionProfitValue = 0.069091, totalProfit = 347.653284 => action 1347: (7, 1) upgrade
actionProfitValue = 0.068991, totalProfit = 347.722374 => action 1348: (1, 2) upgrade
actionProfitValue = 0.068903, totalProfit = 347.791365 => action 1349: (5, 1) upgrade
actionProfitValue = 0.068629, totalProfit = 347.860268 => action 1350: (5, 6) upgrade
actionProfitValue = 0.068564, totalProfit = 347.928898 => action 1351: (7, 3) upgrade
actionProfitValue = 0.068369, totalProfit = 347.997462 => action 1352: (3, 7) upgrade
actionProfitValue = 0.068337, totalProfit = 348.065831 => action 1353: (1, 6) upgrade
actionProfitValue = 0.068011, totalProfit = 348.134168 => action 1354: (3, 3) upgrade
actionProfitValue = 0.067880, totalProfit = 348.202179 => action 1355: (6, 2) upgrade
actionProfitValue = 0.067859, totalProfit = 348.270060 => action 1356: (7, 4) upgrade
actionProfitValue = 0.067844, totalProfit = 348.337919 => action 1357: (1, 4) upgrade
actionProfitValue = 0.067753, totalProfit = 348.405763 => action 1358: (3, 2) upgrade
actionProfitValue = 0.067731, totalProfit = 348.473516 => action 1359: (1, 5) upgrade
actionProfitValue = 0.067728, totalProfit = 348.541246 => action 1360: (1, 3) upgrade
actionProfitValue = 0.067720, totalProfit = 348.608974 => action 1361: (6, 1) upgrade
actionProfitValue = 0.067563, totalProfit = 348.676694 => action 1362: (1, 1) upgrade
actionProfitValue = 0.067394, totalProfit = 348.744257 => action 1363: (3, 1) upgrade
actionProfitValue = 0.067387, totalProfit = 348.811650 => action 1364: (3, 4) upgrade
actionProfitValue = 0.067302, totalProfit = 348.879037 => action 1365: (6, 3) upgrade
actionProfitValue = 0.067091, totalProfit = 348.946339 => action 1366: (5, 4) upgrade
actionProfitValue = 0.066811, totalProfit = 349.013430 => action 1367: (7, 2) upgrade
actionProfitValue = 0.066804, totalProfit = 349.080242 => action 1368: (3, 6) upgrade
actionProfitValue = 0.066764, totalProfit = 349.147046 => action 1369: (5, 3) upgrade
actionProfitValue = 0.066724, totalProfit = 349.213810 => action 1370: (7, 0) upgrade
actionProfitValue = 0.066631, totalProfit = 349.280534 => action 1371: (5, 2) upgrade
actionProfitValue = 0.066630, totalProfit = 349.347166 => action 1372: (6, 0) upgrade
actionProfitValue = 0.066120, totalProfit = 349.413796 => action 1373: (7, 6) upgrade
actionProfitValue = 0.066074, totalProfit = 349.479916 => action 1374: (5, 0) upgrade
actionProfitValue = 0.066066, totalProfit = 349.545989 => action 1375: (7, 5) upgrade
actionProfitValue = 0.065950, totalProfit = 349.612056 => action 1376: (1, 0) upgrade
actionProfitValue = 0.065641, totalProfit = 349.678006 => action 1377: (6, 6) upgrade
actionProfitValue = 0.065428, totalProfit = 349.743647 => action 1378: (6, 4) upgrade
actionProfitValue = 0.065360, totalProfit = 349.809075 => action 1379: (6, 5) upgrade
actionProfitValue = 0.065285, totalProfit = 349.874434 => action 1380: (3, 5) upgrade
actionProfitValue = 0.065232, totalProfit = 349.939719 => action 1381: (5, 5) upgrade
actionProfitValue = 0.065211, totalProfit = 350.004951 => action 1382: (3, 3) upgrade
actionProfitValue = 0.065138, totalProfit = 350.070162 => action 1383: (1, 4) upgrade
actionProfitValue = 0.065015, totalProfit = 350.135300 => action 1384: (3, 2) upgrade
actionProfitValue = 0.064994, totalProfit = 350.200315 => action 1385: (1, 5) upgrade
actionProfitValue = 0.064991, totalProfit = 350.265309 => action 1386: (1, 2) upgrade
actionProfitValue = 0.064959, totalProfit = 350.330300 => action 1387: (1, 3) upgrade
actionProfitValue = 0.064840, totalProfit = 350.395259 => action 1388: (5, 1) upgrade
actionProfitValue = 0.064776, totalProfit = 350.460099 => action 1389: (5, 6) upgrade
actionProfitValue = 0.064715, totalProfit = 350.524875 => action 1390: (1, 1) upgrade
actionProfitValue = 0.064671, totalProfit = 350.589590 => action 1391: (3, 1) upgrade
actionProfitValue = 0.064664, totalProfit = 350.654261 => action 1392: (7, 3) upgrade
actionProfitValue = 0.064530, totalProfit = 350.718924 => action 1393: (7, 1) upgrade
actionProfitValue = 0.064456, totalProfit = 350.783455 => action 1394: (3, 4) upgrade
actionProfitValue = 0.064440, totalProfit = 350.847911 => action 1395: (3, 7) upgrade
actionProfitValue = 0.064425, totalProfit = 350.912351 => action 1396: (1, 6) upgrade
actionProfitValue = 0.064118, totalProfit = 350.976776 => action 1397: (3, 6) upgrade
actionProfitValue = 0.064066, totalProfit = 351.040895 => action 1398: (6, 2) upgrade
actionProfitValue = 0.064049, totalProfit = 351.104961 => action 1399: (7, 4) upgrade
actionProfitValue = 0.064035, totalProfit = 351.169010 => action 1400: (5, 3) upgrade
actionProfitValue = 0.063887, totalProfit = 351.233045 => action 1401: (6, 3) upgrade
actionProfitValue = 0.063324, totalProfit = 351.296932 => action 1402: (6, 1) upgrade
actionProfitValue = 0.063122, totalProfit = 351.360256 => action 1403: (5, 4) upgrade
actionProfitValue = 0.063060, totalProfit = 351.423378 => action 1404: (7, 2) upgrade
actionProfitValue = 0.063053, totalProfit = 351.486438 => action 1405: (7, 0) upgrade
actionProfitValue = 0.062890, totalProfit = 351.549491 => action 1406: (5, 2) upgrade
actionProfitValue = 0.062889, totalProfit = 351.612381 => action 1407: (3, 3) upgrade
actionProfitValue = 0.062506, totalProfit = 351.675270 => action 1408: (6, 0) upgrade
actionProfitValue = 0.062407, totalProfit = 351.737776 => action 1409: (1, 4) upgrade
actionProfitValue = 0.062388, totalProfit = 351.800183 => action 1410: (3, 2) upgrade
actionProfitValue = 0.062368, totalProfit = 351.862572 => action 1411: (1, 5) upgrade
actionProfitValue = 0.062365, totalProfit = 351.924940 => action 1412: (7, 6) upgrade
actionProfitValue = 0.062363, totalProfit = 351.987305 => action 1413: (5, 0) upgrade
actionProfitValue = 0.062357, totalProfit = 352.049668 => action 1414: (7, 5) upgrade
actionProfitValue = 0.062247, totalProfit = 352.112025 => action 1415: (1, 3) upgrade
actionProfitValue = 0.062083, totalProfit = 352.174272 => action 1416: (1, 1) upgrade
actionProfitValue = 0.062058, totalProfit = 352.236355 => action 1417: (3, 1) upgrade
actionProfitValue = 0.062051, totalProfit = 352.298413 => action 1418: (1, 0) upgrade
actionProfitValue = 0.061884, totalProfit = 352.360465 => action 1419: (6, 6) upgrade
actionProfitValue = 0.061754, totalProfit = 352.422348 => action 1420: (3, 4) upgrade
actionProfitValue = 0.061700, totalProfit = 352.484102 => action 1421: (6, 4) upgrade
actionProfitValue = 0.061690, totalProfit = 352.545802 => action 1422: (6, 5) upgrade
actionProfitValue = 0.061619, totalProfit = 352.607492 => action 1423: (5, 5) upgrade
actionProfitValue = 0.061550, totalProfit = 352.669111 => action 1424: (3, 5) upgrade
actionProfitValue = 0.061498, totalProfit = 352.730661 => action 1425: (3, 6) upgrade
actionProfitValue = 0.061478, totalProfit = 352.792158 => action 1426: (1, 2) upgrade
actionProfitValue = 0.061241, totalProfit = 352.853636 => action 1427: (5, 3) upgrade
actionProfitValue = 0.061171, totalProfit = 352.914877 => action 1428: (5, 1) upgrade
actionProfitValue = 0.061139, totalProfit = 352.976048 => action 1429: (5, 6) upgrade
actionProfitValue = 0.061081, totalProfit = 353.037186 => action 1430: (7, 3) upgrade
actionProfitValue = 0.060907, totalProfit = 353.098267 => action 1431: (3, 7) upgrade
actionProfitValue = 0.060738, totalProfit = 353.159174 => action 1432: (6, 2) upgrade
actionProfitValue = 0.060452, totalProfit = 353.219912 => action 1433: (1, 6) upgrade
actionProfitValue = 0.060448, totalProfit = 353.280364 => action 1434: (7, 4) upgrade
actionProfitValue = 0.060439, totalProfit = 353.340812 => action 1435: (7, 1) upgrade
actionProfitValue = 0.060219, totalProfit = 353.401252 => action 1436: (3, 3) upgrade
actionProfitValue = 0.059981, totalProfit = 353.461471 => action 1437: (1, 4) upgrade
actionProfitValue = 0.059867, totalProfit = 353.521451 => action 1438: (3, 2) upgrade
actionProfitValue = 0.059848, totalProfit = 353.581319 => action 1439: (1, 5) upgrade
actionProfitValue = 0.059845, totalProfit = 353.641167 => action 1440: (6, 3) upgrade
actionProfitValue = 0.059769, totalProfit = 353.701012 => action 1441: (1, 1) upgrade
actionProfitValue = 0.059550, totalProfit = 353.760781 => action 1442: (3, 1) upgrade
actionProfitValue = 0.059544, totalProfit = 353.820331 => action 1443: (5, 4) upgrade
actionProfitValue = 0.059519, totalProfit = 353.879876 => action 1444: (7, 2) upgrade
actionProfitValue = 0.059513, totalProfit = 353.939395 => action 1445: (1, 3) upgrade
actionProfitValue = 0.059443, totalProfit = 353.998907 => action 1446: (7, 0) upgrade
actionProfitValue = 0.059359, totalProfit = 354.058351 => action 1447: (5, 2) upgrade
actionProfitValue = 0.059358, totalProfit = 354.117710 => action 1448: (3, 4) upgrade
actionProfitValue = 0.059077, totalProfit = 354.177067 => action 1449: (3, 6) upgrade
actionProfitValue = 0.058994, totalProfit = 354.236144 => action 1450: (6, 1) upgrade
actionProfitValue = 0.058973, totalProfit = 354.295138 => action 1451: (6, 0) upgrade
actionProfitValue = 0.058903, totalProfit = 354.354111 => action 1452: (7, 6) upgrade
actionProfitValue = 0.058862, totalProfit = 354.413013 => action 1453: (5, 0) upgrade
actionProfitValue = 0.058855, totalProfit = 354.471875 => action 1454: (7, 5) upgrade
actionProfitValue = 0.058752, totalProfit = 354.530731 => action 1455: (5, 3) upgrade
actionProfitValue = 0.058570, totalProfit = 354.589483 => action 1456: (1, 0) upgrade
actionProfitValue = 0.058342, totalProfit = 354.648052 => action 1457: (6, 6) upgrade
actionProfitValue = 0.058286, totalProfit = 354.706394 => action 1458: (6, 4) upgrade
actionProfitValue = 0.058226, totalProfit = 354.764680 => action 1459: (6, 5) upgrade
actionProfitValue = 0.058159, totalProfit = 354.822906 => action 1460: (5, 5) upgrade
actionProfitValue = 0.058094, totalProfit = 354.881065 => action 1461: (3, 5) upgrade
actionProfitValue = 0.057978, totalProfit = 354.939159 => action 1462: (1, 2) upgrade
actionProfitValue = 0.057735, totalProfit = 354.997136 => action 1463: (5, 1) upgrade
actionProfitValue = 0.057705, totalProfit = 355.054872 => action 1464: (5, 6) upgrade
actionProfitValue = 0.057651, totalProfit = 355.112577 => action 1465: (3, 3) upgrade
actionProfitValue = 0.057557, totalProfit = 355.170228 => action 1466: (7, 3) upgrade
actionProfitValue = 0.057487, totalProfit = 355.227785 => action 1467: (1, 4) upgrade
actionProfitValue = 0.057449, totalProfit = 355.285272 => action 1468: (3, 2) upgrade
actionProfitValue = 0.057430, totalProfit = 355.342721 => action 1469: (1, 5) upgrade
actionProfitValue = 0.057427, totalProfit = 355.400151 => action 1470: (3, 7) upgrade
actionProfitValue = 0.057261, totalProfit = 355.457579 => action 1471: (1, 1) upgrade
actionProfitValue = 0.057144, totalProfit = 355.514840 => action 1472: (3, 1) upgrade
actionProfitValue = 0.057138, totalProfit = 355.571984 => action 1473: (6, 2) upgrade
actionProfitValue = 0.057058, totalProfit = 355.629123 => action 1474: (7, 4) upgrade
actionProfitValue = 0.057046, totalProfit = 355.686180 => action 1475: (1, 6) upgrade
actionProfitValue = 0.056988, totalProfit = 355.743226 => action 1476: (1, 3) upgrade
actionProfitValue = 0.056916, totalProfit = 355.800214 => action 1477: (3, 6) upgrade
actionProfitValue = 0.056610, totalProfit = 355.857130 => action 1478: (3, 4) upgrade
actionProfitValue = 0.056565, totalProfit = 355.913740 => action 1479: (6, 3) upgrade
actionProfitValue = 0.056413, totalProfit = 355.970305 => action 1480: (7, 1) upgrade
actionProfitValue = 0.056261, totalProfit = 356.026718 => action 1481: (5, 4) upgrade
actionProfitValue = 0.056177, totalProfit = 356.082979 => action 1482: (7, 2) upgrade
actionProfitValue = 0.056171, totalProfit = 356.139156 => action 1483: (5, 3) upgrade
actionProfitValue = 0.056079, totalProfit = 356.195327 => action 1484: (7, 0) upgrade
actionProfitValue = 0.056026, totalProfit = 356.251406 => action 1485: (5, 2) upgrade
actionProfitValue = 0.056025, totalProfit = 356.307432 => action 1486: (6, 0) upgrade
actionProfitValue = 0.055596, totalProfit = 356.363456 => action 1487: (7, 6) upgrade
actionProfitValue = 0.055557, totalProfit = 356.419052 => action 1488: (5, 0) upgrade
actionProfitValue = 0.055551, totalProfit = 356.474609 => action 1489: (7, 5) upgrade
actionProfitValue = 0.055453, totalProfit = 356.530159 => action 1490: (3, 3) upgrade
actionProfitValue = 0.055232, totalProfit = 356.585612 => action 1491: (1, 4) upgrade
actionProfitValue = 0.055127, totalProfit = 356.640844 => action 1492: (3, 2) upgrade
actionProfitValue = 0.055110, totalProfit = 356.695971 => action 1493: (1, 5) upgrade
actionProfitValue = 0.055107, totalProfit = 356.751081 => action 1494: (6, 1) upgrade
actionProfitValue = 0.055096, totalProfit = 356.806188 => action 1495: (6, 6) upgrade
actionProfitValue = 0.055014, totalProfit = 356.861285 => action 1496: (1, 0) upgrade
actionProfitValue = 0.055002, totalProfit = 356.916298 => action 1497: (6, 4) upgrade
actionProfitValue = 0.054956, totalProfit = 356.971300 => action 1498: (6, 5) upgrade
actionProfitValue = 0.054893, totalProfit = 357.026257 => action 1499: (1, 1) upgrade
actionProfitValue = 0.054836, totalProfit = 357.081150 => action 1500: (5, 5) upgrade
actionProfitValue = 0.054831, totalProfit = 357.135985 => action 1501: (3, 1) upgrade
actionProfitValue = 0.054830, totalProfit = 357.190817 => action 1502: (3, 5) upgrade
actionProfitValue = 0.054659, totalProfit = 357.245647 => action 1503: (1, 3) upgrade
actionProfitValue = 0.054496, totalProfit = 357.300306 => action 1504: (5, 1) upgrade
actionProfitValue = 0.054465, totalProfit = 357.354801 => action 1505: (1, 2) upgrade
actionProfitValue = 0.054431, totalProfit = 357.409267 => action 1506: (5, 6) upgrade
actionProfitValue = 0.054414, totalProfit = 357.463698 => action 1507: (3, 6) upgrade
actionProfitValue = 0.054323, totalProfit = 357.518112 => action 1508: (7, 3) upgrade
actionProfitValue = 0.054259, totalProfit = 357.572435 => action 1509: (3, 4) upgrade
actionProfitValue = 0.054159, totalProfit = 357.626694 => action 1510: (3, 7) upgrade
actionProfitValue = 0.053984, totalProfit = 357.680853 => action 1511: (6, 2) upgrade
actionProfitValue = 0.053854, totalProfit = 357.734837 => action 1512: (7, 4) upgrade
actionProfitValue = 0.053842, totalProfit = 357.788691 => action 1513: (1, 6) upgrade
actionProfitValue = 0.053726, totalProfit = 357.842533 => action 1514: (5, 3) upgrade
actionProfitValue = 0.053695, totalProfit = 357.896260 => action 1515: (6, 3) upgrade
actionProfitValue = 0.053245, totalProfit = 357.949954 => action 1516: (5, 4) upgrade
actionProfitValue = 0.053023, totalProfit = 358.003199 => action 1517: (7, 2) upgrade
actionProfitValue = 0.053017, totalProfit = 358.056222 => action 1518: (3, 3) upgrade
actionProfitValue = 0.053000, totalProfit = 358.109239 => action 1519: (1, 4) upgrade
actionProfitValue = 0.052900, totalProfit = 358.162239 => action 1520: (3, 2) upgrade
actionProfitValue = 0.052883, totalProfit = 358.215139 => action 1521: (1, 5) upgrade
actionProfitValue = 0.052881, totalProfit = 358.268022 => action 1522: (7, 0) upgrade
actionProfitValue = 0.052880, totalProfit = 358.320903 => action 1523: (5, 2) upgrade
actionProfitValue = 0.052879, totalProfit = 358.373783 => action 1524: (1, 1) upgrade
actionProfitValue = 0.052620, totalProfit = 358.426662 => action 1525: (3, 1) upgrade
actionProfitValue = 0.052614, totalProfit = 358.479281 => action 1526: (7, 1) upgrade
actionProfitValue = 0.052563, totalProfit = 358.531896 => action 1527: (6, 0) upgrade
actionProfitValue = 0.052474, totalProfit = 358.584458 => action 1528: (7, 6) upgrade
actionProfitValue = 0.052437, totalProfit = 358.636932 => action 1529: (5, 0) upgrade
actionProfitValue = 0.052431, totalProfit = 358.689369 => action 1530: (7, 5) upgrade
actionProfitValue = 0.052339, totalProfit = 358.741801 => action 1531: (1, 3) upgrade
actionProfitValue = 0.052178, totalProfit = 358.794140 => action 1532: (3, 6) upgrade
actionProfitValue = 0.052128, totalProfit = 358.846319 => action 1533: (6, 6) upgrade
actionProfitValue = 0.051925, totalProfit = 358.898447 => action 1534: (6, 4) upgrade
actionProfitValue = 0.051871, totalProfit = 358.950371 => action 1535: (3, 4) upgrade
actionProfitValue = 0.051857, totalProfit = 359.002242 => action 1536: (1, 0) upgrade
actionProfitValue = 0.051854, totalProfit = 359.054099 => action 1537: (6, 5) upgrade
actionProfitValue = 0.051811, totalProfit = 359.105952 => action 1538: (5, 5) upgrade
actionProfitValue = 0.051753, totalProfit = 359.157763 => action 1539: (3, 5) upgrade
actionProfitValue = 0.051530, totalProfit = 359.209516 => action 1540: (6, 1) upgrade
actionProfitValue = 0.051475, totalProfit = 359.261047 => action 1541: (5, 3) upgrade
actionProfitValue = 0.051412, totalProfit = 359.312522 => action 1542: (5, 1) upgrade
actionProfitValue = 0.051407, totalProfit = 359.363933 => action 1543: (5, 6) upgrade
actionProfitValue = 0.051359, totalProfit = 359.415340 => action 1544: (1, 2) upgrade
actionProfitValue = 0.051315, totalProfit = 359.466699 => action 1545: (7, 3) upgrade
actionProfitValue = 0.051212, totalProfit = 359.518014 => action 1546: (3, 7) upgrade
actionProfitValue = 0.050894, totalProfit = 359.569226 => action 1547: (3, 3) upgrade
actionProfitValue = 0.050859, totalProfit = 359.620120 => action 1548: (6, 2) upgrade
actionProfitValue = 0.050830, totalProfit = 359.670978 => action 1549: (7, 4) upgrade
actionProfitValue = 0.050819, totalProfit = 359.721809 => action 1550: (1, 4) upgrade
actionProfitValue = 0.050763, totalProfit = 359.772628 => action 1551: (3, 2) upgrade
actionProfitValue = 0.050746, totalProfit = 359.823390 => action 1552: (1, 5) upgrade
actionProfitValue = 0.050744, totalProfit = 359.874137 => action 1553: (1, 6) upgrade
actionProfitValue = 0.050651, totalProfit = 359.924881 => action 1554: (1, 1) upgrade
actionProfitValue = 0.050494, totalProfit = 359.975532 => action 1555: (3, 1) upgrade
actionProfitValue = 0.050489, totalProfit = 360.026026 => action 1556: (6, 3) upgrade
actionProfitValue = 0.050255, totalProfit = 360.076514 => action 1557: (5, 4) upgrade
actionProfitValue = 0.050046, totalProfit = 360.126769 => action 1558: (7, 2) upgrade
actionProfitValue = 0.050040, totalProfit = 360.176815 => action 1559: (3, 6) upgrade
actionProfitValue = 0.050022, totalProfit = 360.226855 => action 1560: (1, 3) upgrade
actionProfitValue = 0.049960, totalProfit = 360.276877 => action 1561: (7, 0) upgrade
actionProfitValue = 0.049911, totalProfit = 360.326837 => action 1562: (5, 2) upgrade
actionProfitValue = 0.049910, totalProfit = 360.376748 => action 1563: (3, 4) upgrade
actionProfitValue = 0.049652, totalProfit = 360.426657 => action 1564: (6, 0) upgrade
actionProfitValue = 0.049528, totalProfit = 360.476309 => action 1565: (7, 6) upgrade
actionProfitValue = 0.049493, totalProfit = 360.525836 => action 1566: (5, 0) upgrade
actionProfitValue = 0.049487, totalProfit = 360.575329 => action 1567: (7, 5) upgrade
actionProfitValue = 0.049401, totalProfit = 360.624816 => action 1568: (5, 3) upgrade
actionProfitValue = 0.049225, totalProfit = 360.674217 => action 1569: (7, 1) upgrade
actionProfitValue = 0.049108, totalProfit = 360.723443 => action 1570: (6, 6) upgrade
actionProfitValue = 0.049009, totalProfit = 360.772550 => action 1571: (6, 4) upgrade
actionProfitValue = 0.048958, totalProfit = 360.821559 => action 1572: (6, 5) upgrade
actionProfitValue = 0.048902, totalProfit = 360.870517 => action 1573: (1, 0) upgrade
actionProfitValue = 0.048886, totalProfit = 360.919419 => action 1574: (5, 5) upgrade
actionProfitValue = 0.048847, totalProfit = 360.968305 => action 1575: (3, 3) upgrade
actionProfitValue = 0.048804, totalProfit = 361.017152 => action 1576: (1, 4) upgrade
actionProfitValue = 0.048712, totalProfit = 361.065955 => action 1577: (3, 2) upgrade
actionProfitValue = 0.048696, totalProfit = 361.114667 => action 1578: (1, 5) upgrade
actionProfitValue = 0.048694, totalProfit = 361.163363 => action 1579: (3, 5) upgrade
actionProfitValue = 0.048581, totalProfit = 361.212057 => action 1580: (5, 1) upgrade
actionProfitValue = 0.048521, totalProfit = 361.260638 => action 1581: (5, 6) upgrade
actionProfitValue = 0.048475, totalProfit = 361.309158 => action 1582: (1, 1) upgrade
actionProfitValue = 0.048454, totalProfit = 361.357633 => action 1583: (3, 1) upgrade
actionProfitValue = 0.048449, totalProfit = 361.406087 => action 1584: (1, 2) upgrade
actionProfitValue = 0.048378, totalProfit = 361.454536 => action 1585: (7, 3) upgrade
actionProfitValue = 0.048337, totalProfit = 361.502913 => action 1586: (6, 1) upgrade
actionProfitValue = 0.048091, totalProfit = 361.551250 => action 1587: (3, 6) upgrade
actionProfitValue = 0.048001, totalProfit = 361.599341 => action 1588: (3, 7) upgrade
actionProfitValue = 0.047981, totalProfit = 361.647342 => action 1589: (6, 2) upgrade
actionProfitValue = 0.047976, totalProfit = 361.695323 => action 1590: (7, 4) upgrade
actionProfitValue = 0.047966, totalProfit = 361.743299 => action 1591: (1, 3) upgrade
actionProfitValue = 0.047835, totalProfit = 361.791264 => action 1592: (1, 6) upgrade
actionProfitValue = 0.047752, totalProfit = 361.839100 => action 1593: (3, 4) upgrade
actionProfitValue = 0.047540, totalProfit = 361.886852 => action 1594: (6, 3) upgrade
actionProfitValue = 0.047433, totalProfit = 361.934392 => action 1595: (5, 4) upgrade
actionProfitValue = 0.047235, totalProfit = 361.981825 => action 1596: (7, 2) upgrade
actionProfitValue = 0.047230, totalProfit = 362.029061 => action 1597: (5, 3) upgrade
actionProfitValue = 0.047132, totalProfit = 362.076291 => action 1598: (7, 0) upgrade
actionProfitValue = 0.047108, totalProfit = 362.123424 => action 1599: (5, 2) upgrade
actionProfitValue = 0.047107, totalProfit = 362.170532 => action 1600: (3, 3) upgrade
actionProfitValue = 0.046832, totalProfit = 362.217639 => action 1601: (6, 0) upgrade
actionProfitValue = 0.046746, totalProfit = 362.264471 => action 1602: (1, 4) upgrade
actionProfitValue = 0.046744, totalProfit = 362.311217 => action 1603: (3, 2) upgrade
actionProfitValue = 0.046729, totalProfit = 362.357961 => action 1604: (1, 5) upgrade
actionProfitValue = 0.046726, totalProfit = 362.404689 => action 1605: (7, 6) upgrade
actionProfitValue = 0.046714, totalProfit = 362.451416 => action 1606: (5, 0) upgrade
actionProfitValue = 0.046709, totalProfit = 362.498130 => action 1607: (7, 5) upgrade
actionProfitValue = 0.046627, totalProfit = 362.544838 => action 1608: (1, 1) upgrade
actionProfitValue = 0.046496, totalProfit = 362.591465 => action 1609: (3, 1) upgrade
actionProfitValue = 0.046491, totalProfit = 362.637961 => action 1610: (6, 6) upgrade
actionProfitValue = 0.046257, totalProfit = 362.684452 => action 1611: (6, 4) upgrade
actionProfitValue = 0.046209, totalProfit = 362.730709 => action 1612: (6, 5) upgrade
actionProfitValue = 0.046156, totalProfit = 362.776918 => action 1613: (5, 5) upgrade
actionProfitValue = 0.046104, totalProfit = 362.823074 => action 1614: (1, 0) upgrade
actionProfitValue = 0.046088, totalProfit = 362.869178 => action 1615: (3, 6) upgrade
actionProfitValue = 0.046061, totalProfit = 362.915266 => action 1616: (7, 1) upgrade
actionProfitValue = 0.045880, totalProfit = 362.961327 => action 1617: (1, 3) upgrade
actionProfitValue = 0.045801, totalProfit = 363.007207 => action 1618: (3, 5) upgrade
actionProfitValue = 0.045800, totalProfit = 363.053008 => action 1619: (5, 1) upgrade
actionProfitValue = 0.045796, totalProfit = 363.098808 => action 1620: (5, 6) upgrade
actionProfitValue = 0.045753, totalProfit = 363.144604 => action 1621: (7, 3) upgrade
actionProfitValue = 0.045623, totalProfit = 363.190357 => action 1622: (1, 2) upgrade
actionProfitValue = 0.045609, totalProfit = 363.235980 => action 1623: (3, 4) upgrade
actionProfitValue = 0.045519, totalProfit = 363.281589 => action 1624: (6, 2) upgrade
actionProfitValue = 0.045282, totalProfit = 363.327108 => action 1625: (7, 4) upgrade
actionProfitValue = 0.045272, totalProfit = 363.372390 => action 1626: (3, 7) upgrade
actionProfitValue = 0.045234, totalProfit = 363.417662 => action 1627: (5, 3) upgrade
actionProfitValue = 0.045128, totalProfit = 363.462896 => action 1628: (1, 6) upgrade
actionProfitValue = 0.045019, totalProfit = 363.508025 => action 1629: (3, 3) upgrade
actionProfitValue = 0.044940, totalProfit = 363.553043 => action 1630: (6, 1) upgrade
actionProfitValue = 0.044930, totalProfit = 363.597983 => action 1631: (1, 4) upgrade
actionProfitValue = 0.044855, totalProfit = 363.642913 => action 1632: (3, 2) upgrade
actionProfitValue = 0.044841, totalProfit = 363.687768 => action 1633: (1, 5) upgrade
actionProfitValue = 0.044838, totalProfit = 363.732608 => action 1634: (6, 3) upgrade
actionProfitValue = 0.044770, totalProfit = 363.777447 => action 1635: (1, 1) upgrade
actionProfitValue = 0.044617, totalProfit = 363.822217 => action 1636: (3, 1) upgrade
actionProfitValue = 0.044613, totalProfit = 363.866834 => action 1637: (5, 4) upgrade
actionProfitValue = 0.044583, totalProfit = 363.911447 => action 1638: (7, 2) upgrade
actionProfitValue = 0.044578, totalProfit = 363.956030 => action 1639: (7, 0) upgrade
actionProfitValue = 0.044463, totalProfit = 364.000608 => action 1640: (5, 2) upgrade
actionProfitValue = 0.044462, totalProfit = 364.045071 => action 1641: (3, 6) upgrade
actionProfitValue = 0.044200, totalProfit = 364.089533 => action 1642: (6, 0) upgrade
actionProfitValue = 0.044122, totalProfit = 364.133734 => action 1643: (7, 6) upgrade
actionProfitValue = 0.044091, totalProfit = 364.177855 => action 1644: (5, 0) upgrade
actionProfitValue = 0.044086, totalProfit = 364.221946 => action 1645: (7, 5) upgrade
actionProfitValue = 0.044008, totalProfit = 364.266032 => action 1646: (1, 3) upgrade
actionProfitValue = 0.043854, totalProfit = 364.310041 => action 1647: (6, 6) upgrade
